school,ncaa_conf,comments
Western St. (CO),D2,now called Western Colorado
Beloit,D3,
Concordia-Moorhead (MN),D3,
Dubuque,D3,
Hobart,D3,
Saint John's (MN),D3,
Wisconsin–Platteville,D3,
Wisconsin–Whitewater,D3,
Loyola (LA),NAIA,"no football team, would be NAIA though"
Southern Oregon,NAIA,
Laval,Canada,
Manitoba,Canada,
McGill,Canada,
Regina,Canada,
Western Ontario,Canada,
(none),none,
